month,day,polarity
1,1,-0.1375
1,2,-0.025
1,3,0.18666666666666668
1,4,-0.12897435897435897
1,5,0.0
1,6,0.016493055555555542
1,7,0.03214285714285714
1,9,0.7
1,10,-0.04583333333333334
1,11,0.2833333333333334
1,12,-0.07842948717948717
1,13,-0.378125
1,14,0.14907407407407408
1,17,-0.0553030303030303
1,18,-0.10342105263157896
1,19,-0.09843749999999998
1,20,0.09375
1,21,-0.29999999999999993
1,22,-0.049722222222222216
1,23,-0.1
1,24,-0.08333333333333333
1,26,0.0
1,27,0.2
1,28,-0.03214285714285714
1,30,0.2
1,31,0.16666666666666669
2,1,-0.03214285714285713
2,3,0.3125
2,4,0.1
2,5,0.0
2,6,0.0
2,7,-0.025
2,8,-0.033333333333333354
2,9,-0.014583333333333337
2,10,-0.21
2,11,-0.3333333333333333
2,14,0.375
2,15,0.0
2,17,-0.19999999999999998
2,21,-0.275
2,22,0.5
2,23,0.19
2,24,0.012500000000000002
2,25,0.12595238095238093
2,26,-0.2451190476190476
2,27,0.35
2,28,0.17777777777777778
3,2,-0.375
3,3,-0.003124999999999989
3,4,-0.43333333333333335
3,5,-0.07777777777777778
3,6,0.0
3,7,0.0
3,8,-0.0625
3,9,-1.0
3,10,0.03055555555555556
3,11,-0.0625
3,14,0.0
3,15,0.4666666666666666
3,16,0.0
3,17,0.0
3,20,0.0
3,23,0.0
3,26,0.04714772727272727
3,28,0.0
3,30,-0.16666666666666666
3,31,-0.17
4,3,0.125
4,5,0.03125
4,6,-0.015625
4,7,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,13,0.05000000000000001
4,14,-0.012499999999999997
4,15,0.0
4,18,0.4
4,19,0.125
4,20,0.0
4,21,0.5499999999999999
4,22,0.125
4,23,0.0
4,24,-0.05
4,25,-0.08303030303030304
4,26,0.0
4,27,-0.041666666666666664
4,28,0.05
4,30,-0.07083333333333333
5,2,0.027499999999999997
5,4,-0.125
5,5,-0.171875
5,6,0.125
5,7,0.0
5,8,-0.20833333333333334
5,9,0.0
5,10,0.4
5,11,0.0
5,12,0.0
5,13,0.06666666666666667
5,15,-0.30749999999999994
5,16,-0.016666666666666663
5,17,-0.19895833333333335
5,18,0.0
5,19,-0.153125
5,20,-0.21527777777777776
5,21,-0.25
5,22,-0.0625
5,26,0.03333333333333333
5,27,0.0
5,28,-0.013888888888888886
5,29,-0.11904761904761905
5,30,0.0
5,31,0.016666666666666666
6,1,0.037500000000000006
6,2,-0.4633333333333334
6,3,0.08333333333333333
6,4,-0.5
6,5,0.0
6,6,-0.30499999999999994
6,7,0.008333333333333333
6,8,-0.2375
6,9,0.0
6,10,-0.5
6,11,-0.013888888888888886
6,12,-0.2125
6,13,-0.025
6,14,-0.0625
6,15,0.7
6,16,-0.05
6,17,0.36221590909090906
6,18,0.2
6,20,-0.29444444444444445
6,22,0.0
6,24,0.9
6,27,0.0
6,28,0.04523809523809524
6,29,0.05000000000000001
6,30,-0.375
7,1,0.04545454545454545
7,2,-0.02389705882352941
7,3,0.10034013605442178
7,4,-0.019696969696969706
7,5,-0.1708333333333333
7,7,-0.0483173076923077
7,8,0.0
7,9,-0.425
7,10,-0.2270833333333334
7,11,0.0
7,12,0.25
7,16,-0.15
7,17,-0.0861111111111111
7,18,-0.0031249999999999993
7,19,-0.3111111111111111
7,20,-0.041666666666666664
7,21,-1.0
7,22,0.0
7,23,0.0
7,24,0.2857142857142857
7,25,0.0
7,26,0.0
7,27,-0.15486111111111114
7,28,0.0
7,31,-0.01666666666666667
8,1,-0.06916666666666667
8,2,0.06666666666666665
8,4,0.0
8,5,0.0125
8,6,0.029583333333333333
8,7,0.0
8,8,-0.16666666666666666
8,9,0.3
8,10,0.05833333333333333
8,11,-0.7
8,12,0.05
8,13,0.11818181818181818
8,14,-0.010833333333333339
8,15,-0.5
8,16,0.0
8,18,0.075
8,19,-0.020000000000000018
8,20,0.1527777777777778
8,22,-0.21875
8,23,0.0
8,24,0.0
8,26,-0.16875
8,27,-0.390625
8,28,0.024999999999999994
8,30,0.0625
8,31,0.0
9,1,0.175
9,3,-0.1
9,4,-0.0875
9,5,-0.008863636363636362
9,6,-0.050694444444444445
9,7,-0.375
9,8,0.0
9,9,0.0
9,11,0.0
9,12,-1.0
9,13,0.11666666666666665
9,14,0.16666666666666666
9,15,0.1
9,16,0.27708333333333335
9,17,-0.2263888888888889
9,18,0.0
9,19,-0.15625
9,20,-0.041666666666666664
9,21,0.06666666666666667
9,22,-0.55
9,23,0.0
9,24,0.38888888888888884
9,25,0.0
9,26,-0.1
9,27,0.0
9,29,0.0
9,30,-0.15
10,2,-0.125
10,3,0.03041666666666666
10,4,0.03888888888888888
10,5,-0.0425
10,6,0.21666666666666667
10,10,-0.25
10,11,0.1
10,12,0.3333333333333333
10,13,-0.1875
